499.9975281	0.2311307823
499.0131531	0.2457378723
497.9906311	0.2671333553
497.0058289	0.2884423357
495.9829102	0.2993551854
494.9976807	0.3033910257
494.0122681	0.2892926152
492.9887085	0.283545021
492.0028687	0.2819296273
491.0168457	0.2913973663
489.9926453	0.3023784924
489.0061951	0.3105717202
487.9815979	0.3357357563
486.994751	0.3525517441
486.0077209	0.3689279544
484.9825134	0.3705296386
483.9950867	0.3703527709
483.0074158	0.3748594628
481.9815369	0.3796494486
480.9935608	0.3924045953
480.0053406	0.3991128139
479.0167847	0.4121093745
477.9901733	0.4337728496
477.0013428	0.4433133535
476.0123291	0.4510739933
474.9850769	0.4663618901
473.995636	0.4792405375
473.0060425	0.4851572702
472.0162354	0.4982230044
470.9881287	0.5244333082
469.9979553	0.5398743273
469.0075684	0.5485711491
468.0169067	0.5685419113
466.9880676	0.5764699301
465.9971313	0.6013593871
465.0059204	0.6069619849
464.0145874	0.6235914663
462.9849243	0.6408068741
461.9931641	0.650616896
461.0012512	0.6762077441
460.0091858	0.6809739877
459.0168152	0.6980632626
457.9862061	0.7150664118
456.9935608	0.7245845296
456.0006714	0.7448038375
455.0076294	0.7496966674
454.0144043	0.7632892145
452.9827271	0.7815125954
451.9891052	0.7926547732
450.9953613	0.811922833
450.0013733	0.8165901094
449.0071716	0.8307459985
448.0128784	0.8472740767
447.0183411	0.857508622
445.9853516	0.8748593092
444.990448	0.8862892872
443.9953918	0.8925319275
443.0001221	0.9087250521
442.0047302	0.9148842647
441.0090332	0.9299703337
440.0133057	0.9348231219
439.017334	0.9442864625
437.9828491	0.9563531829
436.9865112	0.9597094543
435.9900208	0.9704347349
434.9933167	0.9771234369
433.9964294	0.9804235187
432.9994202	0.9876752109
432.0021362	0.9901002146
431.0047607	0.9946755974
430.0071411	0.9939415363
429.0094604	0.9970100722
428.0115051	0.9961355224
427.0133972	0.9945080935
426.0151062	0.9934814392
425.0166626	0.9931296809
424.0180664	0.9903432261
422.980896	0.9873671972
421.9819031	0.9853279914
420.9827881	0.9772126257
419.983429	0.9723126705
418.9839783	0.9684620259
417.984314	0.958219664
416.9845276	0.9475563932
415.9844971	0.9288847642
414.9843445	0.9175698245
413.9840393	0.9076564669
412.9834595	0.8867623724
411.9828491	0.8721513615
410.9819946	0.84578891
409.9810181	0.8251778327
409.0183411	0.8016966096
408.0169983	0.7923277282
407.0155029	0.7589677593
406.0138245	0.7466640726
405.0119934	0.7060971712
404.0100098	0.6973018006
403.0078735	0.6509535283
402.0055542	0.6358511177
401.0030518	0.5992219981
400.0004272	0.5856299569
399		0.57





