110	1.52
140	1.503424323
145.7	1.488621108
151.6	1.476034818
157.8	1.465080743
164.2	1.45564781
170.8	1.447468468
177.8	1.440139787
185	1.433744466
192.5	1.428063061
200.3	1.423004933
208.5	1.418440598
216.9	1.414413319
225.7	1.410766916
234.9	1.407466817
244.4	1.404509593
254.4	1.401803401
264.7	1.399375892
275.5	1.397154933
286.6	1.39515947
298.3	1.393318156
310.4	1.391649614
323	1.390124717
336.1	1.388731627
349.8	1.387450339
364	1.38628116
378.8	1.385207037
394.1	1.384226935
410.1	1.383321236
426.8	1.382485417
444.1	1.381718955
462.2	1.381008314
480.9	1.380356819
500.5	1.379750096
520.8	1.37919106
542	1.378670837
564	1.378189001
586.9	1.377740453
610.7	1.377322652
635.5	1.376931573
661.3	1.376565183
688.2	1.376220199

